28426741846,D:/OneDrive/Pictures\2019\24-08-2019 (Majorca)\Mallorca
12268621769,D:/OneDrive/Pictures\2019\10-03-2019
8389557322,D:/OneDrive/Pictures\2016\SA Photos
5337246315,D:/OneDrive/Pictures\2019\08-08-2019 (US holiday)
4657598417,D:/OneDrive/Pictures\2019\24-08-2019 (Majorca)
3939570906,D:/OneDrive/Pictures\2020\September
3938118145,D:/OneDrive/Pictures\2019\16-06-2019
2804859462,D:/OneDrive/Pictures\2019\15-09-2019 (helicopter ride)
2527916493,D:/OneDrive/Pictures\2020\P900\August
2215979889,D:/OneDrive/Pictures\2017\17-11-2017
1972216059,D:/OneDrive/Pictures\2020\April
1851250521,D:/OneDrive/Pictures\2019\01-12-2019\Download
1768812301,D:/OneDrive/Pictures\HDD pictures\Uplay\Assassin's Creed® Origins
1655186665,D:/OneDrive/Pictures\2020\P900\March-Rugby weekend
1610040224,D:/OneDrive/Pictures\2020\August
1333932408,D:/OneDrive/Pictures\2021\January
1199764590,D:/OneDrive/Pictures\2020\P900\December
1127477190,D:/OneDrive/Pictures\2021\Feburary
1065438648,D:/OneDrive/Pictures\2020\March
953261546,D:/OneDrive/Pictures\2017\08-10-2017
895833692,D:/OneDrive/Pictures\2019\P900\1-11-2019 (fire works)
836662987,D:/OneDrive/Pictures\2019\P900\08-10-2019
812681477,D:/OneDrive/Pictures\2021\P900\May
771236434,D:/OneDrive/Pictures\2020\Febuary
746053638,D:/OneDrive/Pictures\2019\01-12-2019
729184363,D:/OneDrive/Pictures\2020\15-01-2020
669097706,D:/OneDrive/Pictures\2018\12-02-2018
651586018,D:/OneDrive/Pictures\2020\P900\April
631809507,D:/OneDrive/Pictures\2020\P900\March-2020
605980779,D:/OneDrive/Pictures\2019\P900\28-09-2019
561891086,D:/OneDrive/Pictures\2020\October
501979989,D:/OneDrive/Pictures\2021\April
501533839,D:/OneDrive/Pictures\2019\P900\09-10-2019
487968517,D:/OneDrive/Pictures\2020\July
459141249,D:/OneDrive/Pictures\2019\10-03-2019\.thumbnails
457656957,D:/OneDrive/Pictures\2020\June-July
455172230,D:/OneDrive/Pictures\2021\May
416747796,D:/OneDrive/Pictures\2019\P900\November-2019
383477561,D:/OneDrive/Pictures\downloads
365360603,D:/OneDrive/Pictures\Video Projects
353477329,D:/OneDrive/Pictures\2020\P900\June
324840490,D:/OneDrive/Pictures\2021\Feburary\phoneback replace\WhatsApp\Media\WhatsApp Video
322387471,D:/OneDrive/Pictures\HDD pictures\Bench Marks\Cinebench
306385572,D:/OneDrive/Pictures\Instagram
305533211,D:/OneDrive/Pictures\2019\01-12-2019\.thumbnails
303972336,D:/OneDrive/Pictures\2016\SA Photos\New folder
302563991,D:/OneDrive/Pictures\Uplay\Assassin's Creed® Valhalla
285206231,D:/OneDrive/Pictures\2020\P900\May
282846407,D:/OneDrive/Pictures\2020\July\Download
272604411,D:/OneDrive/Pictures\2019\08-08-2019 (US holiday)\.thumbnails
272064565,D:/OneDrive/Pictures\HDD pictures\Instagram
262960887,D:/OneDrive/Pictures\2019\16-06-2019\.thumbnails
259422330,D:/OneDrive/Pictures\2020\July\WhatsApp Images
255528342,D:/OneDrive/Pictures\2021\P900\Febrary
247205996,D:/OneDrive/Pictures\2019\15-09-2019 (helicopter ride)\Screenshots
246170203,D:/OneDrive/Pictures\2020\P900\July
239641586,D:/OneDrive/Pictures\2020\P900\15-01-2020
234385437,D:/OneDrive/Pictures\2019\08-08-2019 (US holiday)\Screenshots
219345320,D:/OneDrive/Pictures\HDD pictures\Bench Marks\Cinebench\CinebenchR20\corelibs
216123411,D:/OneDrive/Pictures\2021\March
215934423,D:/OneDrive/Pictures\2020\October\Screenshots
210987785,D:/OneDrive/Pictures\2020\23-01-2020
190610622,D:/OneDrive/Pictures\Screenshots\447040\screenshots
187924565,D:/OneDrive/Pictures\Uplay\WATCH_DOGS® 2
183613045,D:/OneDrive/Pictures\2019\08-08-2019 (US holiday)\US chat\alphabet
174028607,D:/OneDrive/Pictures\Uplay\Assassin's Creed® Origins
169792026,D:/OneDrive/Pictures\2021\January\Screenshots
169312982,D:/OneDrive/Pictures\2019\P900\October-2019
165853792,D:/OneDrive/Pictures\HDD pictures\Uplay\WATCH_DOGS® 2
163673343,D:/OneDrive/Pictures\HDD pictures\Bench Marks\Cinebench\CinebenchR20\resource\modules\cinebench\cpu
163502575,D:/OneDrive/Pictures\2019\15-09-2019 (helicopter ride)\.thumbnails
162502214,D:/OneDrive/Pictures\2019\24-08-2019 (Majorca)\.thumbnails
161908307,D:/OneDrive/Pictures\HDD pictures\Camera Roll
158073997,D:/OneDrive/Pictures\2020\October\Download
150070114,D:/OneDrive/Pictures\Screenshots\760\remote\730\screenshots
149497782,D:/OneDrive/Pictures\HDD pictures\Uplay\Far Cry® 4
141009737,D:/OneDrive/Pictures\2021\January\Download
139021253,D:/OneDrive/Pictures\2021\June
138524444,D:/OneDrive/Pictures\HDD pictures\images
135267739,D:/OneDrive/Pictures\Uplay\Assassin's Creed® Odyssey
134949250,D:/OneDrive/Pictures\Screenshots\760\remote\812140\screenshots
130503673,D:/OneDrive/Pictures\HDD pictures\Uplay\Fan_Kit\GIFs
129414960,D:/OneDrive/Pictures\2020\23-01-2020\.thumbnails
127695488,D:/OneDrive/Pictures\2020\Febuary\Motorbike Crash (8th Febuary)
123556037,D:/OneDrive/Pictures\Screenshots\730\screenshots
118188799,D:/OneDrive/Pictures\HDD pictures\Photos\ellen
117650411,D:/OneDrive/Pictures\2020\April\.thumbnails
116608823,D:/OneDrive/Pictures\2021\Feburary\phoneback replace\Download
112440597,D:/OneDrive/Pictures\2019\24-08-2019 (Majorca)\Screenshots
106269975,D:/OneDrive/Pictures\HDD pictures
104600752,D:/OneDrive/Pictures\Screenshots\552520\screenshots
102252574,D:/OneDrive/Pictures\Uplay\Far Cry® 5
101253988,D:/OneDrive/Pictures\Screenshots\760\remote\582160\screenshots
99499724,D:/OneDrive/Pictures\2016\SA Photos\New folder\yes
96682836,D:/OneDrive/Pictures\HDD pictures\Uplay\Fan_Kit\Characters\Alexios
94405340,D:/OneDrive/Pictures\HDD pictures\Uplay\Fan_Kit\Characters\Kassandra
90151131,D:/OneDrive/Pictures\2020\P900\March-Rugby weekend\action shots
89649074,D:/OneDrive/Pictures\HDD pictures\Uplay\Fan_Kit\Screenshots
84306838,D:/OneDrive/Pictures\2021\May\.thumbnails
81566947,D:/OneDrive/Pictures\Instagram\jared.turck_20190901\direct\201908
81566947,D:/OneDrive/Pictures\HDD pictures\Instagram\jared.turck_20190901\direct\201908
