Name,Series,Form,Type,Capacity,Cache,Price/GB
Toshiba HDKPC09,Product Series:DT01ACA,3.5",7200RPM,2TB,64MB,
Hitachi HUS726020ALE610 (0F23009),Ultrastar 7K6000,3.5",7200RPM,2TB,128MB,
Toshiba MG03ACA400,,3.5",7200RPM,4TB,64MB,£0.060
Western Digital WD20EARS,Caviar Green,3.5",5400RPM,2TB,64MB,
Hitachi HDS721010DLE630,Deskstar 7K1000.D,3.5",7200RPM,1TB,32MB,£0.113
Samsung HN-M101MBB/ST1000LM024,Spinpoint M8,2.5",5400RPM,1TB,8MB,£0.064
Western Digital WD5000AUDX,AV-GP,3.5",5400RPM,500GB,32MB,£0.102
Hitachi A7K1000-500,Ultrastar,3.5",7200RPM,500GB,32MB,£0.211
Hitachi 0J38075,Travelstar Z7K500,2.5",7200RPM,500GB,32MB,
Western Digital WD50EFRX,Red,3.5",5400RPM,5TB,64MB,£0.060
Seagate ST6000NM0024,,3.5",7200RPM,6TB,128MB,£0.034
Western Digital WD4001FDYG,RE,3.5",7200RPM,4TB,32MB,
Western Digital WDBMYH0010BNC-NRSN,,2.5",5400RPM,1TB,8MB,
Seagate ST5000NM0024,,3.5",7200RPM,5TB,128MB,£0.065
Seagate ST33000651AS,Barracuda XT,3.5",7200RPM,3TB,64MB,
Seagate ST3250824AS,Barracuda,3.5",7200RPM,250GB,8MB,£0.459
Hitachi 7K1000.C,Deskstar,3.5",7200RPM,1TB,32MB,£0.367
Seagate ST9500325AS,Momentus 5400.6,2.5",5400RPM,500GB,8MB,
Hitachi HTS725050A7E630,Travelstar Z7K500,2.5",7200RPM,500GB,32MB,£0.109
Seagate ST905003N1A1AS-RK,Momentus,2.5",5400RPM,500GB,8MB,£0.088
Toshiba MQ02ABF100,,2.5",5400RPM,1TB,16MB,
Seagate ST2000VN001,NAS HDD,3.5",5400RPM,2TB,64MB,£0.046
Hitachi HUC109060CSS600,Ultrastar C10K900,2.5",10000RPM,600GB,64MB,£0.350
Western Digital WD7501AALS,Caviar Black,3.5",7200RPM,750GB,32MB,
Western Digital WD2500AAKS,Caviar Blue,3.5",7200RPM,250GB,16MB,£0.178
Hitachi 7K1000.B,Deskstar,3.5",7200RPM,160GB,8MB,£1.076
Samsung HD753LJ,Spinpoint F1 DT,3.5",7200RPM,750GB,32MB,
Western Digital WD30PURZ,Purple,3.5",5400RPM,3TB,64MB,£0.028
Seagate ST2000VX000,SV35.5,3.5",7200RPM,2TB,64MB,
Seagate ST2000VX003,Surveillance HDD,3.5",5400RPM,2TB,64MB,£0.050
Toshiba HDD3B03,,3.5",7200RPM,2TB,64MB,
Hitachi 0F14688,Ultrastar 7K4000,3.5",7200RPM,4TB,64MB,£0.044
Seagate ST8000VX0002,Surveillance HDD,3.5",7200RPM,8TB,256MB,£0.034
Western Digital WD25EURS,AV-GP,3.5",5400RPM,2.5TB,64MB,£0.046
Seagate ST9750420AS,Momentus,2.5",7200RPM,750GB,16MB,£0.067
Seagate ST4000VN000,,3.5",5900RPM,4TB,64MB,£0.040
Seagate ST3160318AS,Barracuda,3.5",7200RPM,160GB,8MB,
Hitachi HUS726060ALA641,He6,3.5",7200RPM,6TB,64MB,
Toshiba MK2002TSKB,,3.5",7200RPM,2TB,64MB,
Western Digital WD2500BEKT,Scorpio Black,2.5",7200RPM,250GB,16MB,
Western Digital WDBAAY0030HNC-NRSN,Caviar Green,3.5",5400RPM,3TB,64MB,
Toshiba MK6476GSX,,2.5",5400RPM,640GB,8MB,£0.069
Western Digital WD2500BPVT,Scorpio Blue,2.5",5400RPM,250GB,8MB,
Western Digital WD3200BEVT,Scorpio Blue,2.5",5400RPM,320GB,8MB,
Hitachi 7K1000.C,Deskstar,3.5",7200RPM,1TB,32MB,£0.367
Hitachi 7K1000.B,Deskstar,3.5",7200RPM,1TB,16MB,
Samsung HD251HJ,Spinpoint F1 DT,3.5",7200RPM,250GB,8MB,£0.146
Seagate ST3750528AS,Barracuda,3.5",7200RPM,750GB,32MB,£0.282
Western Digital WD1502FAEX,Caviar Black,3.5",7200RPM,1.5TB,64MB,£0.076
Western Digital WD5000LUCT,AV-25,2.5",5400RPM,500GB,16MB,£0.092
Seagate ST3250620NS,Barracuda ES,3.5",7200RPM,250GB,16MB,£0.417
Seagate ST91000642NS,Constellation,2.5",7200RPM,1TB,64MB,
HP 628065-B21,,3.5",7200RPM,3TB,N/A,
Seagate ST1000NX0313,,2.5",7200RPM,1TB,128MB,£0.158
Hitachi HUS724020ALE640,Ultrastar 7K4000,3.5",7200RPM,2TB,64MB,£0.128
Seagate ST31000340NS,Barracuda ES.2,3.5",7200RPM,1TB,32MB,£0.109
Seagate ST3500320NS,Barracuda ES.2,3.5",7200RPM,500GB,32MB,£0.210
Seagate ST1500DL003,Barracuda Green,3.5",5900RPM,1.5TB,64MB,£0.075
Seagate ST9500620NS,Constellation.2,2.5",7200RPM,500GB,64MB,£0.179
Hitachi 0S02858,Travelstar,2.5",7200RPM,500GB,16MB,
Western Digital WD2500AVKX,AV,3.5",7200RPM,250GB,16MB,
Hitachi HTS725050A9A364,Travelstar 7K500,2.5",7200RPM,500GB,16MB,
Western Digital WD25EZRX,Caviar Green,3.5",5400RPM,2.5TB,64MB,
Western Digital WDBH2D5000ENC-NRSN,,3.5",7200RPM,500GB,32MB,
Seagate HD502HJ/ST500DM005,Spinpoint F3,3.5",7200RPM,500GB,16MB,
Samsung HN-M500MBB/ST500LM012,Spinpoint M8,2.5",5400RPM,500GB,8MB,
Samsung ST640LM000/HM641JI,Spinpoint M7E,2.5",5400RPM,640GB,8MB,
Samsung HD502HI,Spinpoint F2 EG,3.5",5400RPM,500GB,16MB,
Toshiba MK6465GSX,,2.5",5400RPM,640GB,8MB,£0.137
Samsung HD083GJ,Spinpoint F1 DT,3.5",7200RPM,80GB,8MB,
Samsung HE753LJ,Spinpoint F1 RAID,3.5",7200RPM,750GB,32MB,
Western Digital WD3200BPVT/BVVT/BEVT,,2.5",5400RPM,320GB,8MB,
Western Digital WD7500AZRX,Caviar Green,3.5",5400RPM,750GB,64MB,
Maxtor 7Y250M0,,3.5",7200RPM,250GB,8MB,
Toshiba PH2100U-1I54,,2.5",5400RPM,1TB,8MB,
Axiom 0A89470-AX,,3.5",7200RPM,500GB,64MB,£0.178
Samsung ST250DM001/HD253GJ,Spinpoint F3,3.5",7200RPM,250GB,16MB,
Western Digital WDBAAZ0020HNC-NRSN,Caviar Black,3.5",7200RPM,2TB,32MB,
Seagate ST2000DL003,Barracuda Green,3.5",5900RPM,2TB,64MB,£0.124
Toshiba MK7559GSXP,,2.5",5400RPM,750GB,8MB,
Toshiba MG03SCA300,Product Series:MG03SCA,3.5",7200RPM,3TB,64MB,
Western Digital WD5001FSYZ,RE,3.5",7200RPM,5TB,128MB,£0.117
Seagate STBD4000101,Surveillance HDD,3.5",5900RPM,4TB,64MB,
Seagate ST1000DL002,Barracuda Green,3.5",5900RPM,1TB,32MB,
Seagate ST32000542AS,Barracuda LP,3.5",5900RPM,2TB,32MB,
Hitachi HTS543225A7A384,Travelstar Z5K320,2.5",5400RPM,250GB,8MB,
Seagate ST1000VX002,SV35 Series,3.5",5400RPM,1TB,64MB,
Hitachi 0S03835,Deskstar NAS,3.5",7200RPM,5TB,128MB,
Western Digital WD1500ADFS,Raptor,3.5",10000RPM,150GB,16MB,
Seagate ST2000NM0034,,3.5",7200RPM,2TB,128MB,£0.117
Hitachi HUH721010ALE600,Ultrastar He10,3.5",7200RPM,10TB,256MB,
Western Digital WDBAAZ0010HNC-NRSN,Caviar Black,3.5",7200RPM,1TB,32MB,
Hitachi HUH728080ALE604 (0F23668),Ultrastar He8,3.5",7200RPM,8TB,128MB,
Seagate ST5000AS0001,Archive HDD v2,3.5",5900RPM,5TB,128MB,
Western Digital WD2001FFSX,Red Pro,3.5",7200RPM,2TB,64MB,
Hitachi HTE723232A7A364,Travelstar Z7K320,2.5",7200RPM,320GB,16MB,
Seagate ST2000NM0041,Constellation ES,3.5",7200RPM,2TB,64MB,
Seagate ST31000525SV,SV35.5,3.5",7200RPM,1TB,32MB,
Western Digital WD50PURX,Purple,3.5",5400RPM,5TB,64MB,
Western Digital WD7500KPVT,Scorpio Blue,2.5",5200RPM,750GB,8MB,
Seagate ST250LT014,Momentus Thin,2.5",7200RPM,250GB,16MB,
Toshiba MK1002TSKB,,3.5",7200RPM,1TB,64MB,
Hitachi HDS723030ALA640,Deskstar,3.5",7200RPM,3TB,64MB,
Seagate ST3250318AS,Barracuda,3.5",7200RPM,250GB,8MB,£0.264
Western Digital WD3000FYYZ,RE,3.5",7200RPM,3TB,64MB,£0.091
Hitachi 0F14689,,3.5",7200RPM,3TB,64MB,£0.082
Hitachi 0F14685,Ultrastar 7K4000,3.5",7200RPM,2TB,64MB,
Seagate STBD4000100,NAS HDD,3.5",5900RPM,4TB,64MB,
Toshiba HDWE140EZSTA,X300,3.5",7200RPM,4TB,128MB,£0.027
Hitachi 0F23005,Ultrastar 7K6000,3.5",7200RPM,4TB,128MB,£0.039
Seagate ST4000VX000,,3.5",5900RPM,4TB,64MB,
Hitachi 0F14683,,3.5",7200RPM,4TB,64MB,£0.041
Seagate ST4000LM016,,2.5",5400RPM,4TB,128MB,£0.040
Samsung ST2000LM003,Spinpoint M9T,2.5",5400RPM,2TB,32MB,
Seagate ST8000NE0021,IronWolf Pro,3.5",7200RPM,8TB,256MB,£0.032
Western Digital WD60PURX,Purple,3.5",5400RPM,6TB,64MB,£0.029
Seagate ST500NM0011,Constellation ES,3.5",7200RPM,500GB,64MB,£0.475
Western Digital WD6001F4PZ,Ae,3.5",5760RPM,6TB,64MB,£0.046
Seagate ST2000NX0253,,2.5",7200RPM,2TB,128MB,£0.146
Seagate ST1000LM035,,2.5",5400RPM,1TB,128MB,£0.045
Toshiba HDWD105XZSTA,P300,3.5",7200RPM,500GB,64MB,
Seagate ST32000641AS,Barracuda XT,3.5",7200RPM,2TB,64MB,£0.080
Hitachi 0F22791,Ultrastar 7K6000,3.5",7200RPM,6TB,128MB,£0.033
Western Digital WD7500BPVX,WD Blue,2.5",5400RPM,750GB,8MB,£0.056
Toshiba MG03SCA100,Product Series:MG03SCA,3.5",7200RPM,1TB,64MB,£0.078
Toshiba HDWJ110XZSTA,,2.5",5400RPM,1TB,8MB,
Western Digital WD20NPVX,Green,2.5",5900RPM,2TB,8MB,
Seagate ST3146356SS-IM,,3.5",15000RPM,146GB,16MB,£0.576
Western Digital WD6401AALS,Caviar Black,3.5",7200RPM,640GB,32MB,£0.149
Seagate ST3600057SS,Cheetah 15K.7,3.5",15000RPM,600GB,16MB,£0.245
Western Digital WD2500LPLX,Black,2.5",7200RPM,250GB,32MB,£0.174
Seagate ST1000VM002,Pipeline HD,3.5",5900RPM,1TB,64MB,£0.053
Seagate ST9500420AS,Momentu,2.5",7200RPM,500GB,16MB,
Hitachi HGST Ultrastar C10K1800,Ultrastar ,3.5",10520RPM,1.2TB,128MB,£0.383
Western Digital WDBMMA0040HNC-NRSN,Red (Retail Kit),3.5",5400RPM,4TB,64MB,
Samsung HD642JJ,Spinpoint F1 DT,3.5",7200RPM,640GB,16MB,
Hitachi 0S03660,Deskstar NAS,3.5",7200RPM,3TB,64MB,
Seagate ST320LM010,,2.5",7200RPM,320GB,32MB,£0.138
Seagate ST95005620AS,Momentus XT,2.5",7200RPM,500GB,32MB,
Toshiba MQ01ABD050,,2.5",5400RPM,500GB,8MB,£0.065
Western Digital WD7502AAEX,Caviar Black,3.5",7200RPM,750GB,64MB,
Seagate ST8000NM0065,Enterprise ,3.5",7200RPM,8TB,256MB,£0.035
Seagate ST2000VN0011,Enterprise NAS,3.5",7200RPM,2TB,128MB,
Western Digital WD800BEVT,Scorpio Blue,2.5",5400RPM,80GB,8MB,
HP 653950-001,,2.5",15000RPM,146GB,N/A,£0.579
Seagate ST6000VX0001,Surveillance HDD,3.5",5400RPM,6TB,128MB,
Seagate ST6000VN0001,Enterprise NAS,3.5",7200RPM,6TB,128MB,£0.044
Western Digital WD3200BEKX,BLACK SERIES,2.5",7200RPM,320GB,16MB,£0.185
Western Digital WD7500BPKT,Scorpio Black,2.5",7200RPM,750GB,16MB,£0.101
Western Digital WD10JPVT,Scorpio Blue,2.5",5400RPM,1TB,8MB,
Western Digital WD2500BHTZ,WD VelociRaptor,2.5",10000RPM,250GB,64MB,£0.509
Seagate ST3808110AS,,3.5",7200RPM,80GB,N/A,£0.438
Western Digital WD7500AALX,Caviar Blue,3.5",7200RPM,750GB,32MB,
Western Digital WD1001FALS,Caviar Black,3.5",7200RPM,500GB,32MB,£0.159
Hitachi 0F10452,Ultrastar,3.5",7200RPM,2TB,32MB,
Seagate ST2000NX0273,,2.5",7200RPM,2TB,128MB,£0.150
Seagate ST3750525AS,Barracuda,3.5",7200RPM,750GB,32MB,
Western Digital WD30EURX,AV-GP,3.5",5900RPM,3TB,64MB,£0.031
Toshiba MK1661GSYB,,3.5",7200RPM,160GB,16MB,
Toshiba MG03ACA200,Product Series:MG03ACA,3.5",7200RPM,2TB,64MB,£0.083
Hitachi HUC101212CSS600,Ultrastar C10K1200,2.5",10000RPM,1.2TB,64MB,£0.182
Western Digital WD6000BLHX,VelociRaptor,2.5",10000RPM,600GB,32MB,
Hitachi 7K3000,Deskstar 7K3000,3.5",7200RPM,2TB,64MB,£0.088
Samsung ST500LM012,Spinpoint M8,2.5",5400RPM,500GB,8MB,
Seagate ST320LT020,Momentus Thin,2.5",5400RPM,320GB,16MB,
Western Digital WD3200LPVX,WD Blue,2.5",5400RPM,320GB,8MB,£0.245
Seagate ST32000645SS,Constellation ES.2,3.5",7200RPM,2TB,64MB,£0.068
Western Digital WD10JUCT,AV-25,2.5",5400RPM,1TB,16MB,£0.061
Seagate ST1000NM0053,Constellation ES.3,3.5",7200RPM,1TB,128MB,
Seagate STBD2000102,,2.5",5400RPM,2TB,32MB,£0.039
Seagate ST9320423AS,Momentus 7200.4,2.5",7200RPM,320GB,16MB,
Hitachi 0J11563,,2.5",5400RPM,750GB,8MB,
Seagate ST3000NC002,Constellation CS,3.5",7200RPM,3TB,64MB,
Western Digital WD1000FYPS,RE2-GP,3.5",7200RPM,1TB,16MB,
Western Digital WD7500AYPS,RE2-GP,3.5",7200RPM,750GB,16MB,
Seagate ST5000VX0001,Surveillance HDD,3.5",5400RPM,5TB,128MB,
Hitachi 0J11285,Travelstar Z5K500,2.5",5400RPM,500GB,8MB,£0.080
Toshiba HDKPC05,Product Series:DT01ACA,3.5",7200RPM,500GB,32MB,
Western Digital WD2500AAJB,Caviar Blue,3.5",7200RPM,250GB,8MB,£0.282
Hitachi HDS724040ALA640,Deskstar 7K4000,3.5",7200RPM,4TB,64MB,
Hitachi 0F23029,Ultrastar 7K6000,3.5",7200RPM,2TB,128MB,
Western Digital WD5002AALX,Caviar Black,3.5",7200RPM,500GB,32MB,
Hitachi 0F23657,Ultrastar He8,3.5",7200RPM,8TB,128MB,£0.034
Toshiba MG03SCA400,,3.5",7200RPM,4TB,64MB,£0.068
Western Digital WD3000F9YZ,WD SE,3.5",7200RPM,3TB,64MB,
Western Digital WD1600BEVS,Scorpio Blue,2.5",5400RPM,160GB,8MB,£0.309
Western Digital WD1503FYYS,RE4,3.5",7200RPM,1.5TB,64MB,
Western Digital WD10TPVT,Scorpio Blue,2.5",5200RPM,1TB,8MB,
Western Digital WD1600BPVT,Scorpio Blue,2.5",5400RPM,160GB,8MB,£0.247
Samsung HD154UI,Spinpoint F2 EG,3.5",5400RPM,1.5TB,32MB,
Toshiba MK2561GSYN,,2.5",7200RPM,250GB,16MB,£0.278
Western Digital WD20PURZ,Purple,3.5",5400RPM,2TB,64MB,£0.033
Seagate ST9500621NS,Constellation.2,2.5",7200RPM,500GB,64MB,
Hitachi A7K1000,Ultrastar,3.5",7200RPM,500GB,32MB,
Seagate ST4000NM0034,,3.5",7200RPM,4TB,128MB,£0.070
Samsung HE103SJ,Spinpoint F3R,3.5",7200RPM,1TB,32MB,£0.231
Western Digital WD3001HKHG,Xe,3.5",10000RPM,300GB,32MB,
Seagate ST1200MM0017,Enterprise Performance 10K.7,2.5",10000RPM,1.2TB,64MB,£0.211
Seagate STBD6000100,,3.5",5900RPM,6TB,128MB,£0.041
Hitachi 0B26886,Ultrastar 7K4000,3.5",7200RPM,3TB,64MB,£0.079
Seagate ST3250312CS,Pipeline HD,3.5",5900RPM,250GB,8MB,£0.092
Western Digital WD7500BFCX,,2.5",5400RPM,750GB,16MB,£0.070
Western Digital WD6NPURX,Purple NV,3.5",5400RPM,6TB,64MB,£0.046
Hitachi 0F14690,,3.5",7200RPM,2TB,64MB,
Seagate ST3750640NS-IM,Barracuda ES,3.5",7200RPM,750GB,16MB,
Dell 341-9520,,3.5",15000RPM,450GB,16MB,
Seagate ST9250610NS,Constellation.2,2.5",7200RPM,250GB,64MB,£0.276
Western Digital WD3200AZDX,Caviar Green,3.5",5400RPM,320GB,32MB,
Seagate ST940817SM,EE25.2 Series,2.5",5400RPM,40GB,8MB,£2.322
Samsung HM160HC,Spinpoint M5,2.5",5400RPM,160GB,8MB,
Western Digital WD1500BLFS,VelociRaptor,2.5",10000RPM,150GB,16MB,£1.683
Western Digital WD1600BEKT,Scorpio Black,2.5",7200RPM,160GB,16MB,
Western Digital WD5000BEVT,Scorpio Blue,2.5",5400RPM,500GB,8MB,
Western Digital WD40EURX,AV-GP,3.5",5400RPM,4TB,64MB,£0.029
Seagate ST315005N1A1AS-RK,Barracuda,3.5",7200RPM,1.5TB,32MB,£0.159
Seagate ST1000VX000,SV35.5,3.5",7200RPM,1TB,64MB,
Seagate ST3000NM0063,Constellation<br>Product Series:ES.3,3.5",7200RPM,3TB,128MB,£0.070
Western Digital WDBMYH5000ANC-NRSN,,2.5",5400RPM,500GB,8MB,
Seagate ST5000VN0001,Enterprise NAS,3.5",7200RPM,5TB,128MB,
Western Digital WD10EURS,AV-GP,3.5",5400RPM,1TB,64MB,
Hitachi HTE543232A7A384,Travelstar Z5K320,2.5",5400RPM,320GB,8MB,
Western Digital WD5000AAKB,Caviar Blue,3.5",7200RPM,500GB,16MB,
IBM 43X0839,,2.5",15000RPM,73.4GB,16MB,
Seagate ST33000651SS,Constellation ES.2,3.5",7200RPM,3TB,64MB,£0.063
Toshiba MK5059GSXP,,2.5",5400RPM,500GB,8MB,
Lenovo 0A65631,ThinkPad,2.5",5400RPM,500GB,8MB,
Seagate ST1800MM0128,,2.5",10000RPM,1.8TB,128MB,£0.194
Hitachi 0S03788,Travelstar,2.5",7200RPM,500GB,32MB,
Western Digital WDBAAY0020HNC-NRSN,Caviar Green,3.5",5400RPM,2TB,32MB,
Western Digital WD10EUCX,AV-GP,3.5",7200RPM,1TB,16MB,£0.129
Seagate ST2000VN0001,Enterprise NAS,3.5",7200RPM,2TB,128MB,
Western Digital WD2500LPVT,Scorpio Blue,2.5",5400RPM,250GB,8MB,£0.160
Hitachi HUS726020AL5210 (0F22799),Ultrastar 7K6000,3.5",7200RPM,2TB,128MB,
Seagate ST2000NM0021,Constellation ES,3.5",7200RPM,2TB,64MB,
Seagate ST4000NM0063,Constellation ES.3,3.5",7200RPM,4TB,128MB,£0.076
Toshiba MG03SCA200,Product Series:MG03SCA,3.5",7200RPM,2TB,64MB,
Hitachi 0F23269,Ultrastar He8,3.5",7200RPM,6TB,128MB,£0.053
Dell 342-3520,,2.5",7200RPM,1TB,N/A,
Western Digital WD800BEKT,Scorpio Black,2.5",7200RPM,80GB,16MB,
Hitachi HTE723225A7A364,Travelstar Z7K320,2.5",7200RPM,250GB,16MB,
Seagate STAN500100,Momentus XT,2.5",7200RPM,500GB,32MB,£0.368
Seagate ST9250410AS,Momentus 7200.4,2.5",7200RPM,250GB,16MB,
Western Digital WD7500LPCX,WD Green,2.5",5400RPM,750GB,16MB,£0.091
Hitachi HTS543232A7A384,Travelstar Z5K320,2.5",5400RPM,320GB,8MB,
Seagate ST90250N1A1AS-RK,,2.5",5400RPM,250GB,8MB,
Seagate ST9320325AS,Momentus 5400.6,2.5",5400RPM,320GB,8MB,
Seagate ST320LT023,Momentus 7200.4,2.5",7200RPM,320GB,16MB,
Seagate ST3500514NS,Constellation ES,3.5",7200RPM,500GB,32MB,£0.280
Hitachi 0S03364,,3.5",5400RPM,4TB,32MB,
Hitachi 0A72332,Travelstar 7K500,2.5",7200RPM,250GB,16MB,
Hitachi 0F19847,,3.5",5700RPM,4TB,64MB,
Western Digital WD10EVVS,AV-GP,3.5",5400RPM,1TB,8MB,£0.079
Hitachi 0F23651,Ultrastar He8,3.5",7200RPM,8TB,128MB,
Toshiba MK3259GSXP,,2.5",5400RPM,320GB,8MB,
Western Digital WDBABC3200ANC-NRSN,Scorpio Blue,2.5",5400RPM,320GB,8MB,£0.153
Hitachi 0J22411,Product Series:5K100<br>Product Line:Travelstar,2.5",5400RPM,640GB,8MB,
Western Digital WD4500HLHX,VelociRaptor,3.5",10000RPM,450GB,32MB,
Western Digital WD4001ABYS,RE2,3.5",7200RPM,400GB,16MB,
Western Digital WD5000AALX,Caviar Blue,3.5",7200RPM,500GB,32MB,
Seagate ST250LT020,Momentus 5400.6,2.5",5400RPM,250GB,8MB,
Western Digital WD8000AARS,Caviar Green,3.5",5400RPM,800GB,64MB,
Western Digital WD10EADS,Caviar Green,3.5",5400RPM,1TB,32MB,
Western Digital WD1200BJKT,Scorpio Black,2.5",7200RPM,120GB,16MB,
Western Digital WD800BJKT,Scorpio Black,2.5",7200RPM,80GB,16MB,
Western Digital WD3200AVCS,AV-GP,3.5",5400RPM,320GB,16MB,
Western Digital WD4000BEVT,Scorpio Blue,2.5",5400RPM,400GB,8MB,
Western Digital WD2500BEVT,Scorpio Blue,2.5",5400RPM,250GB,8MB,
Western Digital WD1200BEVT,Scorpio Blue,2.5",5400RPM,120GB,8MB,
Western Digital WD800BEVS,Scorpio Blue,2.5",5400RPM,80GB,8MB,
Western Digital WD5000AVJS,AV,3.5",7200RPM,500GB,8MB,
Samsung HM160HI,Spinpoint M Series,2.5",5400RPM,160GB,8MB,
Western Digital WD10EVDS,AV-GP,3.5",5400RPM,1TB,32MB,
Western Digital WD7500AVVS,AV-GP,3.5",5400RPM,750GB,8MB,£0.231
Western Digital WD6400AVVS,AV-GP,3.5",5400RPM,640GB,8MB,
Hitachi 7K1000.C,Deskstar,3.5",7200RPM,640GB,32MB,
Hitachi 7K1000.C,Deskstar,3.5",7200RPM,320GB,16MB,£0.203
Hitachi 7K1000.B,Deskstar,3.5",7200RPM,250GB,8MB,
Hitachi E7K1000,Deskstar,3.5",7200RPM,750GB,32MB,
Hitachi E7K1000,Deskstar,3.5",7200RPM,500GB,32MB,
Seagate ST310005N4A1AS-RK,Barracuda,3.5",5900RPM,1TB,32MB,
Seagate ST373454LC-RF,,3.5",15000RPM,73.4GB,8MB,
Seagate ST320005N1A1AS-RK,Barracuda,3.5",7200RPM,2TB,64MB,
Toshiba MQ01ABD075 dup,,2.5",5400RPM,750GB,8MB,
Western Digital WD5000BUCT,AV-25,2.5",5400RPM,500GB,16MB,
Hitachi HTS545050A7E380,Travelstar Z5K500,2.5",5400RPM,500GB,8MB,£0.090
Lenovo 0A65632,ThinkPad,2.5",7200RPM,500GB,32MB,
Hitachi HTS727575A9E364,Travelstar 7K750,2.5",7200RPM,750GB,16MB,
Samsung HD503HI,Spinpoint F3 EG,3.5",5400RPM,500GB,16MB,
Samsung HD323HJ,Spinpoint F3,3.5",7200RPM,320GB,16MB,
Samsung HD153UI,Spinpoint F2 EG,3.5",5400RPM,1.5TB,16MB,
Samsung HN-M101MBB,Spinpoint M8,2.5",5400RPM,1TB,8MB,
Samsung HA502JI,Spinpoint F1 EG,3.5",5400RPM,500GB,16MB,
Samsung HA252HI,Spinpoint F1 EG,3.5",5400RPM,250GB,16MB,
Samsung HD501IJ,Spinpoint F1 DT,3.5",7200RPM,500GB,8MB,
Samsung HD322HJ,Spinpoint F1 DT,3.5",7200RPM,320GB,16MB,
Samsung HD252HJ,Spinpoint F1 DT,3.5",7200RPM,250GB,16MB,
Toshiba MK3265GSX,,2.5",5400RPM,320GB,8MB,
Samsung HE502IJ,Spinpoint F1 RAID,3.5",7200RPM,500GB,16MB,
Samsung HM500JJ,Spinpoint MP4,2.5",7200RPM,500GB,16MB,
Samsung HM400JI,Spinpoint M7,2.5",5400RPM,400GB,8MB,
Samsung HM641JI,Spinpoint M7E,2.5",5400RPM,640GB,8MB,
Toshiba MD03ACA200V,MD03ACA-V,3.5",7200RPM,2TB,64MB,
Toshiba HDKBB97,,2.5",5400RPM,750GB,8MB,
Toshiba WD6400BPVT,,2.5",5400RPM,640GB,16MB,
Seagate ST4000NM0044,,3.5",7200RPM,4TB,128MB,
Toshiba HDD2J92,,2.5",5400RPM,640GB,8MB,
Toshiba MK5076GSX,,2.5",5400RPM,500GB,8MB,
Axiom HD32072S-AX,,3.5",7200RPM,320GB,N/A,
Western Digital WDBABD5000ANC-NRSN,Scorpio Black,2.5",7200RPM,500GB,16MB,
Toshiba MK2565GSX,,2.5",5400RPM,250GB,8MB,
Toshiba MK6461GSYN,,2.5",7200RPM,640GB,16MB,
Samsung HD153WI,Spinpoint F3 EG,3.5",5400RPM,1.5TB,32MB,
Toshiba PH3600U-1I72,,3.5",7200RPM,6TB,128MB,
Samsung HD324HI,Spinpoint F3 EG,3.5",5400RPM,320GB,16MB,
Seagate ST3500411SV,SV35 Series,3.5",7200RPM,500GB,16MB,
Seagate ST3160023AS,,3.5",7200RPM,160GB,8MB,
Seagate ST320LT009,Momentus Thin,2.5",7200RPM,320GB,16MB,£0.316
Hitachi 7K500,Travelstar,2.5",7200RPM,160GB,16MB,
Western Digital WD3200AZRX,Caviar Green,3.5",5400RPM,320GB,64MB,
Toshiba MK2576GSX,,2.5",5400RPM,250GB,8MB,£0.160
Seagate ST9640423AS,,2.5",5400RPM,640GB,16MB,
Hitachi 0Y30051,,2.5",5400RPM,160GB,8MB,
Toshiba MK2576GSX dup,,2.5",5400RPM,250GB,8MB,
Seagate ST4000NM0043,Constellation Product Series:ES.3,3.5",7200RPM,4TB,128MB,
Seagate ST320LT030,,2.5",5400RPM,320GB,16MB,£0.248
Toshiba MK5056GSY,,2.5",7200RPM,500GB,16MB,
Seagate ST3000VX005,Surveillance HDD,3.5",5900RPM,3TB,64MB,
Hitachi 0J23353,,2.5",5400RPM,320GB,8MB,£0.388
Seagate ST4000VN0001,Enterprise NAS,3.5",7200RPM,4TB,128MB,£0.052
Seagate ST3000VN0001,Enterprise NAS,3.5",7200RPM,3TB,128MB,
Western Digital WD15NPVT,Green,2.5",5400RPM,1.5TB,64MB,
Hitachi HMH7210A0ALE601,Ultrastar Archive Ha10,3.5",7200RPM,10TB,256MB,
Hitachi HMH7210A0ALN601,Ultrastar Archive Ha10,3.5",7200RPM,10TB,256MB,
Hitachi HMH7210A0ALN604,Ultrastar Archive Ha10,3.5",7200RPM,10TB,256MB,
Seagate ST907503N1A1AS-RK,Momentus,2.5",7200RPM,750GB,16MB,
Seagate ST3160316AS,Barracuda,3.5",7200RPM,160GB,8MB,
Seagate ST640LM000,,2.5",5400RPM,640GB,8MB,
Western Digital WD6402AAEX,Caviar Black,3.5",7200RPM,640GB,64MB,
Western Digital WDBAAX5000ENC-NRSN,Caviar Blue,3.5",7200RPM,500GB,16MB,
Western Digital WD7500AARS,Caviar Green,3.5",5400RPM,750GB,64MB,
Toshiba MD03ACA400V,MD03ACA-V,3.5",7200RPM,4TB,64MB,
Western Digital WD10JUCT (OEM),AV-25,2.5",5400RPM,1TB,16MB,
Western Digital WD3200AUDX,AV-GP,3.5",5400RPM,320GB,32MB,
Seagate ST250LT003,Momentus Thin,2.5",5400RPM,250GB,16MB,£0.154
